Ora,Consumo_Elettrico_kWh,Consumo_Termico_kWh
1,5.993428306022466,12.914237073017079
2,4.72347139765763,6.1142241379986375
3,6.295377076201385,6.43734049967488
4,8.046059712816051,11.736729454207403
5,4.531693250553328,9.8069870578625
6,4.531726086101639,8.634484648138708
7,8.158425631014783,13.046883651983412
8,6.534869458305818,10.562378146266733
9,4.061051228130096,10.157372160668332
10,6.085120087171929,12.33948592226515
11,4.0731646143750755,8.874673015169307
12,4.068540492859486,14.705556956417663
13,5.483924543132068,7.635857130300976
14,1.1734395106844042,11.970787199026265
15,1.5501643349739345,14.301498515979535
16,3.8754249415180544,5.868113532183701
17,2.9743377593311524,8.969994472442652
18,5.628494665190548,13.426622178656674
19,3.1839518489575784,13.471733643193076
20,2.175392597329417,9.485513198835282
21,7.931297537843108,7.795986718969422
22,4.548447399026928,12.867807466992286
23,5.1350564093758475,13.550647307744814
24,2.1505036275730864,6.506009954462816
25,3.9112345509496347,6.388259053100859
26,5.2218451794197325,10.675770045950799
27,2.6980128451553944,11.888081900286675
28,5.751396036691344,9.102792744309836
29,3.79872262016239,12.037881459947048
30,4.416612500413446,7.8695901794878536
31,3.796586775541206,3.6559192027787937
32,8.704556369017876,8.728296783002211
33,4.973005550524132,10.189696439539304
34,2.8845781420881993,9.172480120310631
35,6.645089824206378,6.524190209021544
36,2.5583127000579555,4.553053072363547
37,5.4177271900095105,8.457733586896307
38,1.0806597522404489,12.69296731494923
39,2.343627902203139,13.768592318241048
40,5.393722471738247,13.563140152415365
41,6.476933159990821,7.5522713945543405
42,5.342736562379941,6.538881029108908
43,4.768703435223519,11.489903844939686
44,4.3977926088214225,11.905300034793775
45,2.0429560192651453,11.200508815601491
46,3.5603115832105825,3.95781017728671
47,4.078722458080425,7.3993462453496
48,7.114244452437831,9.910933629142065
49,5.687236579136923,11.461654583891281
50,1.473919689274532,12.30192208780746
51,5.64816793878959,10.43276056684612
52,4.229835439167367,10.992351419614709
53,3.6461559993880828,10.254596375083313
54,6.2233525776817356,12.056858122655449
55,7.061999044991902,10.938596954472732
56,6.862560238232398,10.197212980141861
57,3.3215649535547227,9.194893602587857
58,4.381575248297571,10.243874275127443
59,5.662526862807128,11.453774136517824
60,6.951090254244718,10.802426166694184
61,4.04165152430942,11.142479255035761
62,4.628682046672366,14.028165584053557
63,2.7873300519879436,10.795491768239762
64,2.6075867518386584,8.053004438580526
65,6.625051644788396,12.650820357982507
66,7.712480057141645,5.9014049869932474
67,4.855979756839332,6.755759857782138
68,7.007065795784048,11.007541794160208
69,5.723272050095268,11.549190003359737
70,3.7097604907897512,6.264846329488015
71,5.722791211016828,8.85154755703975
72,8.076073132931938,8.181748503341025
73,4.928347921780097,8.53997103135521
74,8.129287311628012,12.830793328818837
75,0.0,12.119516390641758
76,6.643805008750448,9.942633460438877
77,5.174094136476342,8.362114218655217
78,4.401985299068265,5.951050989339578
79,5.183521553071005,14.260554816345845
80,1.0248621707982144,11.776341700854754
81,4.560656224324976,7.879992687780579
82,5.7142251430234925,12.158798492874674
83,7.955788089483033,9.789329138276123
84,3.9634595634527052,9.13867148541297
85,3.3830127942136246,11.305634584868807
86,3.996485912830927,7.775505250261825
87,6.830804235404148,8.96873044146967
88,5.657502219319369,10.364383192598638
89,3.9404795924659224,8.50164642134436
90,6.026534866226712,12.007255630802572
91,5.194155098696081,15.607199511034782
92,6.937289981065779,7.737105602178572
93,3.5958938122452953,5.004624111087867
94,4.3446757068044635,3.9947794975712156
95,4.215783693735685,9.548595575515053
96,2.072970103735763,8.010506229621452
97,5.592240554129152,10.623581503201242
98,5.522110544359778,10.397793016078303
99,5.010226913284922,5.190349460157711
100,4.530825733249706,4.555348511555782
101,2.1692585158991715,10.887799721038286
102,4.158709354469282,10.40628650415987
103,4.314570966946461,8.722546004900346
104,3.395445461556762,5.028569244603086
105,4.677428576667982,11.414173788294972
106,5.8081017136290765,13.81569863627183
107,8.77237180242106,10.833947320656767
108,5.349155625663678,7.457578328304806
109,5.515100781445529,10.133656496713455
110,4.851108168467666,5.9016577571989455
111,1.162457569401917,13.173882141516378
112,4.946972249101567,10.245533003588616
113,5.120460419882053,4.695529264740305
114,9.926484224970572,9.097976918668952
115,4.615278070437755,11.389904530702692
116,5.603094684667225,9.000857137073433
117,4.9305764605895135,9.172312835679477
118,2.662643924760936,6.326793378858184
119,7.285645629030041,11.699622961244968
120,6.503866065373549,8.054592399942587
121,6.582063894086094,3.5306638689849024
122,3.181225090410522,8.886227887988818
123,7.805588621872198,12.943449146711059
124,2.1962978744154382,8.839211660200158
125,6.173714187600541,15.21395495537056
126,9.380911251619956,11.28690384564555
127,3.0189273497386235,11.016274486841098
128,3.867404540794456,9.614805202247174
129,5.199302730175282,9.795141376707129
130,3.9930486917676014,9.209729094641489
131,1.8986731378677346,9.09319182375242
132,5.137125949612055,11.592601486201445
133,2.8753925725477902,7.192506310628303
134,5.9471848612703635,6.772318513827221
135,3.1611515315323935,6.630414847373867
136,8.09986881003508,16.136963643031464
137,3.4334934153275256,11.59102870501174
138,4.355876967588649,10.913476605040435
139,6.62703443473934,6.827455989119706
140,2.5382713671320896,11.870026902024485
141,5.4549198692082586,9.650285960640014
142,7.614285508564857,10.64250682339525
143,1.785033530877545,7.070139052409332
144,5.369267717064608,10.48080657225273
